id,text,category,switch_points,primary_language
31,Kävin kirjastossa ensi viikolla.,finnish_only,0,Finnish
161,I very like writing.,english_only,0,English
302,Haluaisin order phone.,code_switched,1,Mixed
77,Olin eilen kirjastossa tapaamassa ystävää.,finnish_only,0,Finnish
280,I learned physics next week.,english_only,0,English
58,Onko sinulla aikaa nähdä ensi viikolla?,finnish_only,0,Finnish
172,I went to a cafe next week.,english_only,0,English
256,Do you have time to buy today?,english_only,0,English
249,I would like to learn Finnish.,english_only,0,English
149,Haluaisin käydä matematiikkaa.,finnish_only,0,Finnish
101,Tykkään suomea todella.,finnish_only,0,Finnish
279,I would like to buy math.,english_only,0,English
195,I was at the library yesterday meeting a colleague.,english_only,0,English
146,Opin historiaa huomenna.,finnish_only,0,Finnish
67,Opin fysiikkaa huomenna.,finnish_only,0,Finnish
41,Olin eilen kahvilassa tapaamassa perhettä.,finnish_only,0,Finnish
182,I was at the library yesterday meeting my teacher.,english_only,0,English
225,I would like to buy English.,english_only,0,English
254,This is a good book.,english_only,0,English
301,"I love this, se on niin awesome!",code_switched,2,Mixed
327,Let's meet downtown and sitten mennään syömään.,code_switched,3,Mixed
317,Menen shopping downtown.,code_switched,1,Mixed
234,I went to the library next week.,english_only,0,English
6,Pidän erittäin lukemisesta.,finnish_only,0,Finnish
270,I would like to learn English.,english_only,0,English
133,Minun täytyy nähdä huomenna.,finnish_only,0,Finnish
316,Odotin long time mutta finally se tuli.,code_switched,0,Mixed
37,Tämä on iso idea.,finnish_only,0,Finnish
46,Haluaisin käydä englantia.,finnish_only,0,Finnish
175,I quite like running.,english_only,0,English
10,Onko sinulla aikaa nähdä eilen?,finnish_only,0,Finnish
278,I went to downtown next week.,english_only,0,English
86,Tämä on huono kirja.,finnish_only,0,Finnish
206,This is a difficult day.,english_only,0,English
157,Kävin kirjastossa ensi viikolla.,finnish_only,0,Finnish
266,I was at the office yesterday meeting a colleague.,english_only,0,English
339,Haluaisin order laptop.,code_switched,2,Mixed
250,I learned math yesterday.,english_only,0,English
173,I learned math next week.,english_only,0,English
259,I would like to learn English.,english_only,0,English
3,Olin eilen kahvilassa tapaamassa ystävää.,finnish_only,0,Finnish
69,Pidän todella lukemisesta.,finnish_only,0,Finnish
373,Onko sinulla time to call me?,code_switched,2,Mixed
287,Odotin long time mutta finally se tuli.,code_switched,0,Mixed
237,I quite like swimming.,english_only,0,English
229,I quite like swimming.,english_only,0,English
162,I'm going to the store to buy milk.,english_only,0,English
178,I would like to see math.,english_only,0,English
88,Minun täytyy oppia tänään.,finnish_only,0,Finnish
53,Kävin kaupungilla huomenna.,finnish_only,0,Finnish
62,Tykkään suomea erittäin.,finnish_only,0,Finnish
23,Haluaisin oppia englantia.,finnish_only,0,Finnish
328,Kävin gym tomorrow.,code_switched,1,Mixed
333,Kävin gym huomenna.,code_switched,0,Mixed
282,"I love this, se on niin nice!",code_switched,2,Mixed
265,I very like swimming.,english_only,0,English
236,I would like to do computer science.,english_only,0,English
219,I went to downtown next week.,english_only,0,English
166,I very like reading.,english_only,0,English
371,Pidän very coding:sta but se on expensive.,code_switched,2,Mixed
346,Meidän pitää update file asap.,code_switched,2,Mixed
378,Odotin long time mutta finally se tuli.,code_switched,0,Mixed
43,Onko sinulla aikaa tehdä ensi viikolla?,finnish_only,0,Finnish
214,I would like to visit Finnish.,english_only,0,English
97,Pidän hyvin juoksemisesta.,finnish_only,0,Finnish
211,I would like to visit computer science.,english_only,0,English
298,Let's meet kaupungilla and sitten mennään syömään.,code_switched,3,Mixed
75,Tämä on vaikea idea.,finnish_only,0,Finnish
305,Minun täytyy finish tämä project tomorrow.,code_switched,3,Mixed
243,I was at a cafe yesterday meeting a colleague.,english_only,0,English
268,This is a good movie.,english_only,0,English
42,Minun täytyy oppia eilen.,finnish_only,0,Finnish
95,Onko sinulla aikaa käydä eilen?,finnish_only,0,Finnish
281,Käytin meeting friend next week.,code_switched,0,Mixed
193,I went to the office today.,english_only,0,English
94,Tykkään suomea todella.,finnish_only,0,Finnish
248,I would like to learn English.,english_only,0,English
54,Tämä on iso elokuva.,finnish_only,0,Finnish
49,Kävin kaupungilla tänään.,finnish_only,0,Finnish
198,I extremely like swimming.,english_only,0,English
232,I was at the office yesterday meeting my teacher.,english_only,0,English
212,Do you have time to do today?,english_only,0,English
384,"Tykkään coding:sta, it's fun!",code_switched,2,Mixed
82,Onko sinulla aikaa oppia huomenna?,finnish_only,0,Finnish
145,Menen kauppaan ostamaan vaatteita.,finnish_only,0,Finnish
