id,text,sentiment,score,domain
505,Laatu toimii riittävästi.,neutral,0.54,feedback
586,Tavallinen vaihtoehto tietyille käyttäjille.,neutral,0.52,product_review
253,Olen äärimmäisen pettynyt palveluun.,negative,0.2,service_review
246,Ratkaisu ei vastannut vaatimuksiani.,negative,0.18,feedback
57,Erinomainen tuote. Toimii täydellisesti.,positive,0.95,product_review
391,Inhoan ostokseen. Ei vastannut odotuksia.,negative,0.07,social_media
587,Tuote vastasi hintaa.,neutral,0.54,social_media
88,Olen erittäin tyytyväinen tulokseen.,positive,0.84,social_media
408,Palvelu toimii tyydyttävästi.,neutral,0.48,feedback
471,Asiakaspalvelu vastasi hintaa.,neutral,0.48,product_review
380,Olen järkyttynyt kokemukseen.,negative,0.07,social_media
247,"Kamala, epäpätevä ja kallis - täydellinen katastrofi.",negative,0.12,feedback
506,Laatu on standardin mukainen.,neutral,0.48,feedback
90,Olen erittäin iloinen kokemukseen.,positive,0.82,service_review
540,Tuote on keskivertoa.,neutral,0.46,feedback
91,Paras tuote ikinä! Kannattaa ehdottomasti.,positive,0.96,social_media
271,Tämä pilasi ratkaisu. Ikävää.,negative,0.08,product_review
265,"Kamala, hidas ja heikko - täydellinen katastrofi.",negative,0.07,social_media
367,Tämä on kehno kokemus.,negative,0.13,service_review
466,Laatu on kohtuullinen.,neutral,0.51,product_review
312,En voi kuin valittaa tulokseen.,negative,0.12,feedback
582,Laatu on keskivertoa.,neutral,0.46,social_media
98,"Joka kerta kun suositella, olen onnellinen.",positive,0.89,social_media
13,Olen täysin iloinen ostokseen.,positive,0.84,social_media
468,Tämä riippuu hintaan nähden.,neutral,0.55,product_review
242,Tämä pilasi tuote. Ikävää.,negative,0.13,feedback
257,Tämä on surullinen kokemus.,negative,0.16,service_review
494,Hinta on riittävä kategoriassaan.,neutral,0.49,service_review
170,Olen erittäin iloinen palveluun.,positive,0.85,social_media
373,Olen todella pettynyt tähän tuotteeseen.,negative,0.12,social_media
463,Hinta on tyypillinen vertailussa.,neutral,0.47,feedback
186,Olen äärimmäisen iloinen tähän tuotteeseen.,positive,0.92,feedback
310,Olen äärimmäisen pettynyt ostokseen.,negative,0.11,product_review
345,En voi kuin kritisoida tulokseen.,negative,0.18,product_review
214,"Joka kerta kun kritisoida, olen surullinen.",negative,0.12,social_media
160,"Erinomainen, ammattitaitoinen ja helppokäyttöinen - täydellinen yhdistelmä!",positive,0.9,service_review
542,Asiakaspalvelu vastasi hintaa.,neutral,0.48,feedback
139,Tämä muutti ratkaisu. Kiitos!,positive,0.9,feedback
219,"Kamala, epäpätevä ja rikki - täydellinen katastrofi.",negative,0.05,feedback
410,En osaa sanoa lopputulosta.,neutral,0.49,service_review
355,Olen erittäin tyytymätön ostokseen.,negative,0.16,social_media
159,Tämä muutti ratkaisu. Kiitos!,positive,0.84,product_review
439,Toimitus on riittävä.,neutral,0.49,social_media
174,Upea laatu ja nopea palvelu!,positive,0.86,social_media
317,Tämä pilasi valinta. Ikävää.,negative,0.08,social_media
229,"Joka kerta kun pahoitella, olen hirveä.",negative,0.1,service_review
318,Tämä on surkea kokemus.,negative,0.08,feedback
580,Asiakaspalvelu vastasi hintaa.,neutral,0.51,social_media
195,Erinomainen ratkaisu. Paras valinta.,positive,0.93,feedback
205,En voi kuin valittaa tähän tuotteeseen.,negative,0.14,social_media
491,Tämä riippuu kategoriassaan.,neutral,0.5,service_review
222,Tämä on riittämätön kokemus.,negative,0.16,social_media
308,En voi kuin pahoitella ostokseen.,negative,0.15,social_media
268,Ratkaisu ei vastannut toiveitani.,negative,0.15,feedback
99,Erinomainen tuote. Paras valinta.,positive,0.93,service_review
244,Inhoan tähän tuotteeseen. Ei vastannut odotuksia.,negative,0.06,feedback
531,Tuote toimii tyydyttävästi.,neutral,0.54,product_review
77,Rakastan tähän tuotteeseen. Paras valinta.,positive,0.94,product_review
534,Palvelu oli perus.,neutral,0.53,feedback
565,Hinta on kohtuullinen kategoriassaan.,neutral,0.52,service_review
414,En osaa sanoa lopputulosta.,neutral,0.5,service_review
404,Tämä riippuu kategoriassaan.,neutral,0.51,service_review
