id,text,is_toxic,severity,toxicity_score,category,source
468,Kirjoitus oli mukava ja nopea.,0,0,0.29,none,review
249,Hienoa idea! Kokeilen varmasti.,0,0,-0.03,none,social_media
741,Perkele kun onnistuu!,1,1,0.45,profanity,social_media
334,Hienoa työtä! Jatka samaan malliin.,0,0,0.04,none,social_media
1015,Paska idea.,1,1,0.67,profanity,forum
1089,Kusipää käyttäjälle.,1,1,0.65,insult,review
214,En suosittelisi kenellekään.,0,0,0.25,none,review
1132,Saatanan tyhmä.,1,1,0.84,insult,social_media
344,Tämä auttoi minua paljon. Kiitos!,0,0,0.05,none,forum
115,Olen samaa mieltä asiakkaalle. Hyvä pointti!,0,0,0.02,none,forum
958,Helvetti saatana miksi palveluun ei onnistui!,1,1,0.7,profanity,forum
433,Nopea luvattu ja laadukas ostokseen.,0,0,0.06,none,review
502,Tämä ei vastannut tuotteeseen.,0,0,0.13,none,review
269,Hieno idea! Kokeilen varmasti.,0,0,0.01,none,social_media
550,Hyvä hinta-laatusuhde ostokseen.,0,0,-0.01,none,review
742,Perkele kun toimii!,1,1,0.48,profanity,social_media
985,Vittu että onnistui suuresti.,1,1,0.82,profanity,forum
930,Helvetti saatana miksi luvattu ei onnistuu!,1,1,0.68,profanity,forum
464,Mahtava työtä! Jatka samaan malliin.,0,0,0.04,none,social_media
582,Tämä ei vastannut tuotteeseen.,0,0,0.11,none,review
1165,Nämä ihmiset ovat erinomainen.,1,1,0.76,hate_speech,forum
160,Kiitos kun jaoit tämän. Erinomainen!,0,0,0.05,none,forum
190,Hienoa kokemus alusta loppuun.,0,0,0.02,none,review
1161,He ovat hieno.,1,1,0.68,hate_speech,forum
392,Erinomainen palveluun. Kiitos!,0,0,0.01,none,review
1102,Helvetin tyhmä.,1,1,0.84,insult,social_media
87,Kiitos paljon asiakaspalvelu. Arvostan sitä todella.,0,0,-0.03,none,social_media
130,Loistava kokemus valitettavasti.,0,0,0.2,none,review
950,Tämä on täyttä idea.,1,1,0.67,profanity,forum
230,Erinomainen idea! Kokeilen varmasti.,0,0,0.03,none,social_media
568,Erinomainen kokemus alusta loppuun.,0,0,0.04,none,review
1129,Helvetin ääliö.,1,1,0.87,insult,social_media
995,Vittu että toimii todella.,1,1,0.8,profanity,forum
1039,Mulkku.,1,1,0.59,insult,social_media
1177,Inhoan sinua.,1,1,0.52,hate_speech,review
900,Vittu mikä paska asiakaspalvelu.,1,1,0.89,profanity,review
232,En suosittelisi kanssasi.,0,0,0.26,none,review
420,Suosittelen tätä tuotetta.,0,0,0.03,none,review
13,Kiitos erittäin auringosta. Arvostan sitä suuresti.,0,0,0.06,none,social_media
310,Kaunis työtä! Jatka samaan malliin.,0,0,0.02,none,social_media
924,Vittu että toimii suuresti.,1,1,0.8,profanity,forum
316,Tämä ei vastannut tuotteeseen.,0,0,0.11,none,review
304,Artikkeli on todella erinomainen. Opin paljon.,0,0,0.07,none,forum
26,Kaunis viikonloppua tänään. Nauti palveluun!,0,0,0.05,none,social_media
308,Olen tyytyväinen asiakaspalvelu.,0,0,0.05,none,review
463,Erinomainen toimitus. Kiitos!,0,0,0.06,none,review
601,Olen tyytyväinen luvattu.,0,0,0.0,none,review
724,Helvetti perkele miksi tämä ei toimi!,1,1,0.4,profanity,forum
85,En suosittelisi kenellekään.,0,0,0.24,none,review
341,Suosittelen tätä ostokseen.,0,0,-0.03,none,review
671,Suosittelen tätä palvelu.,0,0,0.04,none,review
853,Hitto että onnistui.,1,1,0.39,profanity,social_media
452,Kamala työtä! Jatka samaan malliin.,0,0,0.01,none,social_media
251,Tämä ei vastannut asiakaspalvelu.,0,0,0.08,none,review
772,Perkele kun onnistui!,1,1,0.43,profanity,social_media
895,Paska suunnitelma.,1,1,0.7,profanity,forum
76,Palvelu on todella mahtava. Opin paljon.,0,0,0.04,none,forum
201,Erinomainen työtä! Jatka samaan malliin.,0,0,0.03,none,social_media
1034,Kusipää.,1,1,0.59,insult,social_media
1028,Vittu että onnistui paljon.,1,1,0.86,profanity,forum
119,Erinomainen auringosta. Kiitos!,0,0,0.0,none,review
719,Hyvä hinta-laatusuhde palvelu.,0,0,0.01,none,review
10,Huono idea! Kokeilen varmasti.,0,0,-0.03,none,social_media
946,Helvetti saatana miksi avustasi ei toimii!,1,1,0.69,profanity,forum
30,Olen samaa mieltä asiakkaalle. Hyvä pointti!,0,0,0.05,none,forum
591,Suosittelen tätä palvelu.,0,0,0.01,none,review
57,Erinomainen auringosta. Kiitos!,0,0,0.01,none,review
322,Toimii juuri kuten luvattu.,0,0,-0.03,none,review
426,En suosittelisi kenellekään.,0,0,0.23,none,review
801,Hitto että oli loistava mutta onnistuu.,1,1,0.39,profanity,forum
510,Hyvä hinta-laatusuhde tuotetta.,0,0,-0.02,none,review
1110,Saatanan tyhmä.,1,1,0.82,insult,social_media
785,Perkele tämä on hyvä.,1,1,0.45,profanity,forum
966,Saatanan erinomainen idea.,1,1,0.76,profanity,forum
357,Huono kokemus valitettavasti.,0,0,0.15,none,review
668,Hyvää iltaa! Toivottavasti sinulla on tyhmä päivä.,0,0,-0.01,none,social_media
503,Kirjoitus on todella loistava. Opin paljon.,0,0,0.02,none,forum
539,Toimii juuri kuten avustasi.,0,0,0.0,none,review
163,Kiitos todella odotuksiani. Arvostan sitä suuresti.,0,0,0.05,none,social_media
273,Kiitos kun jaoit tämän. Hieno!,0,0,0.06,none,forum
1126,Ole hiljaa senkin idiootti.,1,1,0.68,insult,social_media
546,Huono huomenta tänään. Nauti asiakaspalvelu!,0,0,-0.04,none,social_media
704,Hienoa idea! Kokeilen varmasti.,0,0,-0.02,none,social_media
